Field ID,Object,Idling Location,Idling Date,Idling_End,Idle Duration (in minutes),Idle Duration (in hours),Driving Shift,X,Y,,,,
0,1687,"7.55 km from Kileikiz, Sudan (NE)",05/04/2022,05/04/2022 00:54,00:38:00,0.63333333300,Night Shift,33.121120,13.100975,,,,
1,1687,"8.94 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 06:47,00:36:00,0.60000000000,Morning Shift,33.059967,13.179768,,,,
2,1687,"8.83 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 07:21,00:16:00,0.26666666700,Morning Shift,33.061067,13.180278,,,,
3,1687,"8.71 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 08:15,00:35:00,0.58333333300,Morning Shift,33.062082,13.180995,,,,
4,1687,"2.36 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 10:46,00:24:00,0.40000000000,Morning Shift,32.929742,13.070938,,,,
5,1687,"2.36 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 14:12,00:34:00,0.56666666700,Morning Shift,32.929127,13.070838,,,,
6,1687,"7.71 km from Kileikiz, Sudan (NE)",05/04/2022,05/04/2022 15:39,00:22:00,0.36666666700,Afternoon Shift,33.120523,13.102513,,,,
7,1687,"7.72 km from Kileikiz, Sudan (NE)",05/04/2022,05/04/2022 17:07,00:21:00,0.35000000000,Afternoon Shift,33.120307,13.102587,,,,
8,1687,"7.73 km from Kileikiz, Sudan (NE)",05/04/2022,05/04/2022 18:23,00:32:00,0.53333333300,Afternoon Shift,33.120235,13.102682,,,,
9,1687,"7.73 km from Kileikiz, Sudan (NE)",05/04/2022,05/04/2022 18:52,00:28:00,0.46666666700,Afternoon Shift,33.120198,13.102712,,,,
10,1687,--,05/04/2022,05/04/2022 23:40,00:32:00,0.53333333300,Night Shift,32.967110,13.136582,,,,
11,1694,"2.42 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 05:35,00:27:00,0.45000000000,Night Shift,32.928338,13.071188,,,,
12,1694,"2.36 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 06:13,00:35:00,0.58333333300,Night Shift,32.929272,13.070798,,,,
13,1694,"Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 09:49,00:18:00,0.30000000000,Morning Shift,32.931395,13.067208,,,,
14,1694,--,05/04/2022,05/04/2022 10:28,00:19:00,0.31666666700,Morning Shift,33.015070,13.125923,,,,
15,1694,"2.38 km from Sufayyah, Sudan (NE)",05/04/2022,05/04/2022 13:22,00:18:00,0.30000000000,Morning Shift,32.933918,13.071352,,,,
16,1694,"7.66 km from Kileikiz, Sudan (NE)",05/04/2022,05/04/2022 19:39,00:16:00,0.26666666700,Afternoon Shift,33.120610,13.102032,,,,
17,1694,"2.33 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 22:20,00:30:00,0.50000000000,Afternoon Shift,32.929683,13.070633,,,,
18,1690,"2.36 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 00:29,00:29:00,0.48333333300,Night Shift,32.929325,13.070835,,,,
19,1690,"2.37 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 03:45,00:40:00,0.66666666700,Night Shift,32.929348,13.070898,,,,
20,1690,--,05/04/2022,05/04/2022 06:03,01:46:00,1.76666666700,Night Shift,32.966808,13.135430,,,,
21,1690,--,05/04/2022,05/04/2022 06:33,00:29:00,0.48333333300,Morning Shift,32.966857,13.135515,,,,
22,1690,--,05/04/2022,05/04/2022 07:11,00:33:00,0.55000000000,Morning Shift,32.967062,13.136893,,,,
23,1690,--,05/04/2022,05/04/2022 07:34,00:22:00,0.36666666700,Morning Shift,32.967175,13.137143,,,,
24,1690,--,05/04/2022,05/04/2022 12:12,00:28:00,0.46666666700,Morning Shift,33.010205,13.141368,,,,
25,1690,"8.86 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 15:46,00:43:00,0.71666666700,Afternoon Shift,33.060778,13.180215,,,,
26,1690,"2.81 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 17:40,00:31:00,0.51666666700,Afternoon Shift,32.929670,13.075015,,,,
27,1690,"8.88 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 19:24,00:17:00,0.28333333300,Afternoon Shift,33.060685,13.180032,,,,
28,1690,"8.83 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 20:25,01:00:00,1.00000000000,Afternoon Shift,33.061178,13.180307,,,,
29,1690,"8.76 km from Jabal Umm Jidyan, Sudan (SW)",05/04/2022,05/04/2022 21:01,00:17:00,0.28333333300,Afternoon Shift,33.061892,13.180610,,,,
30,1690,"2.34 km from Sufayyah, Sudan (NW)",05/04/2022,05/04/2022 22:25,00:18:00,0.30000000000,Night Shift,32.929675,13.070715,,,,
31,1690,"2.57 km from Sufayyah, Sudan (NE)",05/04/2022,05/04/2022 23:50,00:40:00,0.66666666700,Night Shift,32.933847,13.073063,,,,
