FID,LOCATION,ROAD TYPE,WIDTH,ROAD CLASS,LANE,DIRECTION,SPEED,LENGTH,AREA ID,CATEGORY
0,KSC,Harvesting,10,Minor,2,Two Ways,40,3226,Area 5,Unpaved
1,KSC,Harvesting,10,Minor,2,Two Ways,40,2076,Area 5,Unpaved
2,KSC,Harvesting,10,Minor,2,Two Ways,40,2102,Area 4,Unpaved
3,KSC,Harvesting,10,Minor,2,Two Ways,40,1169,Area 4,Unpaved
4,KSC,Harvesting,10,Minor,2,Two Ways,40,792,Area 4,Unpaved
5,KSC,Harvesting,10,Minor,2,Two Ways,40,1984,Area 5,Unpaved
6,KSC,Harvesting,10,Minor,2,Two Ways,40,2580,Area 4,Unpaved
7,KSC,Harvesting,10,Minor,2,Two Ways,40,1347,Area 6,Unpaved
8,KSC,Harvesting,10,Minor,2,Two Ways,40,1048,Area 6,Unpaved
9,KSC,Harvesting,10,Minor,2,Two Ways,40,3776,Area 3,Unpaved
10,KSC,Harvesting,10,Minor,2,Two Ways,40,1623,Area 3,Unpaved
11,KSC,Harvesting,10,Minor,2,Two Ways,40,3045,Area 4,Unpaved
12,KSC,Harvesting,10,Minor,2,Two Ways,40,1275,Area 5,Unpaved
13,KSC,Harvesting,10,Minor,2,Two Ways,40,1388,Area 5,Unpaved
14,KSC,Harvesting,10,Minor,2,Two Ways,40,681,Area 5,Unpaved
15,KSC,Harvesting,10,Minor,2,Two Ways,40,993,Area 4,Unpaved
16,KSC,Harvesting,10,Minor,2,Two Ways,40,839,Area 4,Unpaved
17,KSC,Harvesting,10,Minor,2,Two Ways,40,1277,Area 4,Unpaved
18,KSC,Harvesting,10,Minor,2,Two Ways,40,1396,Area 3,Unpaved
19,KSC,Harvesting,10,Minor,2,Two Ways,40,2056,Area 5,Unpaved
20,KSC,Harvesting,10,Minor,2,Two Ways,40,935,Area 5,Unpaved
21,KSC,Harvesting,10,Minor,2,Two Ways,40,5989,Area 4,Unpaved
22,KSC,Harvesting,10,Minor,2,Two Ways,40,1637,Area 4,Unpaved
23,KSC,Residential,10,Minor,2,Two Ways,40,1994,Area 3,Semi Paved
24,KSC,Service,10,Minor,2,Two Ways,40,1129,Area 4,Semi Paved
25,KSC,Residential,10,Minor,2,Two Ways,40,1262,Area 4,Semi Paved
26,KSC,Harvesting,10,Minor,2,Two Ways,40,2619,Area 4,Unpaved
27,KSC,Residential,10,Minor,2,Two Ways,40,1082,Area 4,Semi Paved
28,KSC,Residential,10,Minor,2,Two Ways,40,832,Area 4,Semi Paved
29,KSC,Residential,10,Minor,2,Two Ways,40,260,Area 4,Semi Paved
30,KSC,Residential,10,Minor,2,Two Ways,40,828,Area 4,Semi Paved
31,KSC,Residential,10,Minor,2,Two Ways,40,336,Area 4,Semi Paved
32,KSC,Residential,10,Minor,2,Two Ways,40,284,Area 4,Semi Paved
