FID,Length (m),Travel time (minute),Speed (m/hr)
0,1013.730,1.521,40000
1,1219.440,1.219,60000
2,1090.350,1.636,40000
3,0.061,0.000,40000
4,658.755,0.659,60000
5,718.550,1.078,40000
6,1544.890,1.545,60000
7,1622.960,2.434,40000
8,625.274,0.938,40000
9,1160.930,1.161,60000
10,1719.390,2.579,40000
11,916.502,1.375,40000
12,858.817,0.859,60000
13,476.960,0.477,60000
14,513.374,0.513,60000
15,7.115,0.007,60000
16,52.863,0.053,60000
17,13861.700,20.793,40000
18,934.173,0.934,60000
19,157.368,0.157,60000
20,236.819,0.237,60000
21,1388.600,1.389,60000
22,837.488,1.256,40000
23,42.863,0.064,40000
24,84.636,0.127,40000
25,38.017,0.057,40000
26,79.263,0.119,40000
27,14.129,0.021,40000
28,51.809,0.078,40000
29,89.462,0.134,40000
30,49.828,0.075,40000
31,38.627,0.058,40000
32,49.944,0.075,40000
33,98.166,0.147,40000
34,1212.820,1.819,40000
35,1.034,0.002,40000
36,807.805,0.808,60000
37,5983.860,5.984,60000
38,73.358,0.110,40000
39,74.218,0.111,40000
40,81.488,0.122,40000
41,826.040,1.239,40000
42,78.226,0.117,40000
43,52.160,0.078,40000
44,43.515,0.065,40000
45,75.059,0.113,40000
46,193.848,0.291,40000
47,468.470,0.703,40000
48,73.106,0.110,40000
49,94.192,0.141,40000
50,97.044,0.146,40000
51,49.879,0.075,40000
52,77.515,0.116,40000
53,76.067,0.114,40000
54,37.914,0.057,40000
55,73.666,0.110,40000
56,49.333,0.074,40000
57,72.912,0.109,40000
58,58.099,0.087,40000
59,61.155,0.092,40000
60,42.121,0.063,40000
61,66.766,0.100,40000
62,46.440,0.070,40000
63,47.554,0.071,40000
64,64.780,0.097,40000
65,47.655,0.071,40000
66,137.924,0.207,40000
67,38.698,0.058,40000
68,138.314,0.207,40000
69,99.028,0.149,40000
70,83.040,0.125,40000
71,90.724,0.136,40000
72,28.035,0.042,40000
73,3367.520,5.051,40000
74,555.300,0.833,40000
75,113.057,0.170,40000
76,108.944,0.163,40000
77,92.234,0.138,40000
78,91.291,0.137,40000
79,86.379,0.130,40000
80,42.973,0.064,40000
81,76.104,0.114,40000
82,73.566,0.110,40000
83,820.337,0.820,60000
84,216.652,0.325,40000
85,116.638,0.175,40000
86,117.572,0.176,40000
87,44.216,0.066,40000
88,119.289,0.179,40000
89,310.428,0.466,40000
90,139.757,0.210,40000
91,133.115,0.200,40000
92,25.799,0.039,40000
93,239.167,0.359,40000
94,184.773,0.277,40000
95,17.039,0.026,40000
96,173.560,0.260,40000
97,376.167,0.564,40000
98,50.432,0.076,40000
99,351.190,0.527,40000
100,858.018,1.287,40000
101,1089.350,1.634,40000
102,2125.700,2.126,60000
103,1562.190,2.343,40000
104,1554.480,2.332,40000
105,0.058,0.000,40000
106,1592.860,2.389,40000
107,2526.940,2.527,60000
108,113.874,0.171,40000
109,0.017,0.000,40000
110,938.047,0.938,60000
111,864.113,0.864,60000
112,749.139,0.749,60000
113,60.878,0.091,40000
114,2084.780,3.127,40000
115,3.529,0.005,40000
116,1344.230,1.344,60000
117,3792.200,3.792,60000
118,0.024,0.000,40000
119,2211.710,3.318,40000
120,476.474,0.715,40000
121,689.810,1.035,40000
122,379.744,0.570,40000
123,707.442,1.061,40000
124,181.204,0.272,40000
125,3775.600,3.776,60000
126,9.883,0.010,60000
127,0.036,0.000,60000
128,4906.190,4.906,60000
129,1228.450,1.843,40000
130,2151.630,2.152,60000
131,2430.150,3.645,40000
132,1193.850,1.791,40000
133,1026.530,1.540,40000
134,1893.870,1.894,60000
135,620.383,0.620,60000
136,100.872,0.151,40000
137,1168.660,1.753,40000
138,578.147,0.867,40000
139,792.138,1.188,40000
140,2071.200,2.071,60000
141,1395.610,2.093,40000
142,1277.460,1.916,40000
143,26.256,0.039,40000
144,0.639,0.001,40000
145,1346.920,2.020,40000
146,738.472,0.738,60000
147,839.158,1.259,40000
148,4604.930,6.907,40000
149,2101.690,3.153,40000
150,1677.160,1.677,60000
151,0.180,0.000,60000
152,0.579,0.001,60000
153,1508.170,1.508,60000
