FID,Shape,X,Y
0,Point,32.832182,13.150275
1,Point,32.832748,13.150276
2,Point,32.836571,13.135121
3,Point,32.838062,13.135112
4,Point,32.853136,13.135128
5,Point,32.854184,13.151049
6,Point,32.858581,13.144448
7,Point,32.859072,13.152432
8,Point,32.860326,13.147315
9,Point,32.862704,13.153552
10,Point,32.865715,13.165287
11,Point,32.868834,13.143620
12,Point,32.875606,13.119541
13,Point,32.879120,13.124184
14,Point,32.879611,13.129664
15,Point,32.882050,13.196549
16,Point,32.882354,13.166204
17,Point,32.882657,13.168390
18,Point,32.884481,13.155993
19,Point,32.884651,13.118839
20,Point,32.885363,13.151971
21,Point,32.886093,13.149916
22,Point,32.888984,13.147633
23,Point,32.889288,13.128863
24,Point,32.889482,13.121721
25,Point,32.889887,13.109166
26,Point,32.890011,13.110931
27,Point,32.890747,13.145891
28,Point,32.891021,13.151307
29,Point,32.892880,13.157393
30,Point,32.892912,13.145686
31,Point,32.892990,13.150509
32,Point,32.893146,13.155448
33,Point,32.893150,13.158295
34,Point,32.893675,13.167818
35,Point,32.894965,13.153954
36,Point,32.897310,13.204892
37,Point,32.897785,13.175509
38,Point,32.898775,13.205870
39,Point,32.899642,13.108828
40,Point,32.900288,13.132354
41,Point,32.901685,13.145260
42,Point,32.903803,13.163918
43,Point,32.904824,13.130152
44,Point,32.905379,13.119585
45,Point,32.905657,13.160000
46,Point,32.907260,13.159926
47,Point,32.908186,13.169736
48,Point,32.908532,13.106249
49,Point,32.908569,13.107379
50,Point,32.908638,13.134810
51,Point,32.909237,13.143428
52,Point,32.909380,13.152171
53,Point,32.909862,13.131614
54,Point,32.911204,13.184858
55,Point,32.911901,13.194104
56,Point,32.912386,13.174225
57,Point,32.912731,13.174983
58,Point,32.912735,13.175443
59,Point,32.914051,13.176650
60,Point,32.914548,13.174214
61,Point,32.914551,13.174435
62,Point,32.914558,13.174984
63,Point,32.914563,13.175454
64,Point,32.914569,13.175911
65,Point,32.914576,13.176470
66,Point,32.914583,13.177075
67,Point,32.915238,13.113155
68,Point,32.915525,13.176485
69,Point,32.915527,13.174438
70,Point,32.915533,13.174984
71,Point,32.915537,13.175458
72,Point,32.915538,13.173708
73,Point,32.915540,13.175911
74,Point,32.916449,13.173656
75,Point,32.916502,13.174438
76,Point,32.916538,13.174977
77,Point,32.916563,13.175454
78,Point,32.916563,13.175905
79,Point,32.916586,13.176487
80,Point,32.916670,13.173632
81,Point,32.916676,13.172884
82,Point,32.917096,13.173599
83,Point,32.917097,13.174438
84,Point,32.917134,13.174973
85,Point,32.917166,13.175452
86,Point,32.917229,13.175901
87,Point,32.917302,13.132600
88,Point,32.917305,13.176352
89,Point,32.917499,13.173573
90,Point,32.917539,13.174439
91,Point,32.917559,13.174888
92,Point,32.917862,13.174439
93,Point,32.917997,13.173455
94,Point,32.918135,13.173676
95,Point,32.918305,13.173345
96,Point,32.918742,13.174683
97,Point,32.919708,13.178692
98,Point,32.920145,13.176234
99,Point,32.920723,13.175001
100,Point,32.921718,13.173548
101,Point,32.921980,13.143348
102,Point,32.922520,13.103501
103,Point,32.922632,13.104028
104,Point,32.922800,13.154531
105,Point,32.922916,13.105036
106,Point,32.923056,13.082739
107,Point,32.924651,13.107476
108,Point,32.924678,13.178701
109,Point,32.925823,13.176969
110,Point,32.926222,13.125754
111,Point,32.926314,13.180627
112,Point,32.926731,13.143051
113,Point,32.927107,13.152385
114,Point,32.927551,13.126362
115,Point,32.928130,13.166878
116,Point,32.928141,13.181180
117,Point,32.928564,13.167157
118,Point,32.928691,13.141141
119,Point,32.928968,13.155745
120,Point,32.929108,13.168066
121,Point,32.929401,13.178408
122,Point,32.929487,13.140670
123,Point,32.930142,13.140306
124,Point,32.930670,13.133114
125,Point,32.930843,13.081540
126,Point,32.930956,13.081188
127,Point,32.931068,13.081440
128,Point,32.931156,13.175777
129,Point,32.931480,13.139872
130,Point,32.931733,13.156448
131,Point,32.932549,13.176242
132,Point,32.932879,13.129015
133,Point,32.932967,13.156909
134,Point,32.933046,13.129476
135,Point,32.933074,13.125477
136,Point,32.933130,13.124957
137,Point,32.933145,13.122977
138,Point,32.933514,13.155108
139,Point,32.933528,13.126197
140,Point,32.933531,13.125473
141,Point,32.933533,13.124801
142,Point,32.934119,13.069213
143,Point,32.934353,13.068978
144,Point,32.934926,13.126459
145,Point,32.934944,13.124690
146,Point,32.934948,13.125502
147,Point,32.935890,13.125483
148,Point,32.935908,13.124662
149,Point,32.935946,13.069034
150,Point,32.935938,13.124005
151,Point,32.935996,13.187462
152,Point,32.936394,13.126991
153,Point,32.936439,13.161762
154,Point,32.936476,13.124752
155,Point,32.936624,13.161234
156,Point,32.937152,13.154404
157,Point,32.937197,13.196190
158,Point,32.937501,13.124298
159,Point,32.937614,13.057032
160,Point,32.937760,13.044536
161,Point,32.937909,13.123313
162,Point,32.938247,13.078001
163,Point,32.938947,13.124888
164,Point,32.940609,13.124557
165,Point,32.940720,13.206212
166,Point,32.941356,13.150548
167,Point,32.941654,13.189144
168,Point,32.942464,13.209979
169,Point,32.943008,13.125596
170,Point,32.943052,13.244568
171,Point,32.943540,13.190139
172,Point,32.943701,13.100091
173,Point,32.943765,13.052470
174,Point,32.944027,13.241654
175,Point,32.944125,13.220994
176,Point,32.944493,13.079992
177,Point,32.944910,13.223911
178,Point,32.944975,13.181125
179,Point,32.945041,13.224557
180,Point,32.945155,13.048465
181,Point,32.945146,13.158643
182,Point,32.945588,13.219110
183,Point,32.946493,13.158301
184,Point,32.946967,13.039561
185,Point,32.947199,13.070111
186,Point,32.948017,13.183362
187,Point,32.948237,13.033584
188,Point,32.948285,13.174030
189,Point,32.948482,13.072268
190,Point,32.948975,13.140058
191,Point,32.949579,13.166510
192,Point,32.950453,13.166875
193,Point,32.950677,13.185911
194,Point,32.950816,13.156367
195,Point,32.950945,13.193389
196,Point,32.950962,13.183363
197,Point,32.951061,13.042833
198,Point,32.951222,13.076243
199,Point,32.951440,13.145940
200,Point,32.951582,13.156388
201,Point,32.951621,13.178387
202,Point,32.953287,13.167156
203,Point,32.953653,13.262877
204,Point,32.955411,13.200742
205,Point,32.955514,13.199725
206,Point,32.955772,13.118312
207,Point,32.955809,13.205177
208,Point,32.956450,13.260103
209,Point,32.956606,13.110109
210,Point,32.957317,13.110153
211,Point,32.957340,13.214935
212,Point,32.957652,13.255149
213,Point,32.957741,13.037771
214,Point,32.958054,13.188208
215,Point,32.958208,13.085610
216,Point,32.958785,13.113828
217,Point,32.959359,13.180222
218,Point,32.960183,13.203312
219,Point,32.960746,13.181380
220,Point,32.961178,13.213729
221,Point,32.961500,13.217837
222,Point,32.961925,13.195032
223,Point,32.962058,13.165307
224,Point,32.962057,13.181151
225,Point,32.962088,13.217471
226,Point,32.963297,13.032126
227,Point,32.963378,13.163517
228,Point,32.963404,13.077668
229,Point,32.963633,13.181037
230,Point,32.963877,13.224440
231,Point,32.963993,13.247822
232,Point,32.965056,13.100559
233,Point,32.965118,13.127617
234,Point,32.965200,13.079819
235,Point,32.965361,13.127286
236,Point,32.965517,13.208576
237,Point,32.965992,13.128376
238,Point,32.966343,13.208219
239,Point,32.966827,13.129844
240,Point,32.966898,13.208036
241,Point,32.967008,13.064909
242,Point,32.967901,13.132669
243,Point,32.969110,13.194453
244,Point,32.969123,13.141266
245,Point,32.969694,13.144152
