FID,FIELDNO,AREA_FED,Area_Sq_m,PERIMETER 
0,11102,197.523,829597.440,3754.751
1,11103,199.692,838705.795,3842.616
2,11104,137.468,577366.922,3376.913
3,11105,118.092,495986.624,3959.226
4,11106,45.081,189339.606,1969.261
5,11107,124.168,521503.943,3575.202
6,11108,125.250,526050.515,3943.599
7,11109,208.322,874951.996,4387.048
8,11110,34.076,143118.573,2076.587
9,11111,63.757,267779.434,2583.949
10,11112,126.877,532883.389,3550.892
11,11113,199.938,839741.146,4228.558
12,11114,176.292,740426.377,3775.284
13,11117,96.260,404290.611,2762.039
14,11118,168.340,707027.977,3616.834
15,11119,110.661,464774.486,2773.003
16,11120,144.517,606970.761,3367.804
17,11121,58.810,247000.454,2681.640
18,11122,77.347,324857.926,2637.105
19,11116,99.785,419095.667,3056.982
20,11115,18.604,78136.733,1358.644
21,11101,199.917,839651.926,3765.701
22,11201,92.709,389377.206,2980.562
23,11202,130.722,549033.005,3344.934
24,11203,93.935,394528.243,2942.030
25,11204,152.883,642107.917,3576.624
26,11205,156.765,658414.176,3363.751
27,11206,142.962,600438.317,3739.879
28,11207,140.642,590696.490,3503.048
29,11208,180.092,756384.384,3742.106
30,11209,187.309,786696.019,3716.600
31,11210,154.375,648377.094,3398.420
32,11211,181.664,762988.643,4142.901
33,11212,156.553,657521.984,4293.775
34,11213,167.208,702273.645,4341.319
35,11214,170.083,714348.970,4170.347
36,11215,220.699,926937.312,4588.679
37,11216,176.586,741660.080,4334.245
38,11217,208.773,876847.866,4829.682
39,11218,169.476,711799.088,4036.342
40,11219,156.099,655614.669,3939.529
41,11220,120.152,504639.789,3206.857
42,11301,145.343,610441.530,3313.894
43,11302,145.299,610256.349,3411.445
44,11303,119.589,502274.147,3212.319
45,11304,91.182,382962.989,2917.820
46,11305,80.043,336182.493,2591.264
47,11306,106.076,445517.408,3006.669
48,11307,213.410,896322.583,4341.552
49,11308,186.843,784740.566,3911.647
50,11309,204.036,856951.200,4353.237
51,11310,141.848,595760.659,4233.110
52,11311,190.610,800563.881,4542.400
53,11312,178.951,751593.673,4458.606
54,11313,195.249,820046.281,4429.462
55,11314,169.430,711604.186,4235.051
56,11315,140.427,589793.949,3958.748
57,11316,199.336,837211.648,4420.596
58,11317,204.994,860974.374,4092.127
59,11318,198.397,833267.187,3707.373
60,11319,81.334,341603.382,2317.431
61,12101,25.766,108217.402,1623.817
62,12102,115.765,486214.741,3132.177
63,12103,207.352,870878.391,3948.355
64,12104,223.322,937954.080,4165.594
65,12105,165.549,695304.980,4052.279
66,12107,241.683,1015069.731,4317.112
67,12106,184.224,773740.525,4025.396
68,12108,186.866,784835.587,3959.239
69,12109,194.174,815531.069,4685.905
70,12110,157.509,661536.534,4523.553
71,12112,168.514,707757.097,4658.353
72,12111,177.083,743748.970,4582.917
73,12113,176.217,740110.269,4592.618
74,12114,42.546,178694.141,1771.301
75,12115,174.441,732653.645,4124.418
76,12116,133.820,562045.366,3605.447
77,12117,132.454,556307.741,3455.355
78,12202,176.970,743276.062,3792.374
79,12204,157.661,662178.003,4369.273
80,12206,136.754,574367.181,3952.186
81,12207,187.986,789541.312,4234.649
82,12208,199.754,838968.592,4324.504
83,12209,179.537,754055.590,4265.666
84,12210,209.185,878577.526,4649.523
85,12211,115.547,485298.665,3373.399
86,12212,214.873,902466.321,5504.245
87,12214,63.948,268580.995,2153.236
88,12215,137.899,579174.512,3156.672
89,12216,221.248,929240.547,3923.165
90,12219,106.432,447014.691,2770.222
91,12218,227.099,953815.968,4630.698
92,12220,36.927,155094.800,2417.521
93,12201,176.194,740014.464,3706.300
94,12203,208.871,877259.936,4514.112
95,12205,186.277,782362.224,4193.472
96,12213,32.270,135535.098,1627.119
97,12217,164.536,691049.744,3393.250
98,12302,130.165,546691.824,3141.881
99,12303,142.631,599050.794,3503.167
100,12304,121.002,508208.087,3783.936
101,12305,202.939,852342.848,4289.748
102,12306,182.089,764774.752,4599.146
103,12307,196.405,824901.750,5150.130
104,12308,185.347,778457.904,5202.745
105,12301,128.475,539596.467,3436.715
106,12309,150.797,633345.462,4907.001
107,12310,196.557,825538.359,4664.771
108,12311,166.272,698343.139,4423.597
109,12312,190.760,801192.179,4910.681
110,12313,181.228,761157.063,4969.023
111,12314,189.505,795920.720,5047.671
112,12315,198.883,835309.664,5118.846
113,12316,176.106,739643.318,5061.967
114,12317,179.621,754407.293,5131.387
115,12318,149.181,626560.570,4881.594
116,12319,138.972,583682.198,4434.267
117,12320,141.592,594685.795,4770.931
118,12321,271.834,1141701.098,5599.157
119,21105,104.919,440659.744,4426.762
120,21106,150.514,632156.762,4176.180
121,21108,103.402,434286.922,3022.227
122,21110,124.160,521473.994,3747.541
123,21114,69.859,293406.669,2809.661
124,21115,58.633,246258.947,2706.349
125,21116,64.060,269052.806,2813.960
126,21117,143.419,602359.587,3627.681
127,21118,101.927,428095.203,3815.665
128,21119,110.812,465412.192,4081.128
129,21120,103.141,433193.085,3935.589
130,21121,81.369,341749.050,3373.304
131,21122,63.008,264632.615,2763.742
132,21123,73.426,308390.320,2540.873
133,21124,62.234,261384.816,2184.534
134,21107,243.655,1023350.653,5373.527
135,21109,234.942,986757.923,4477.388
136,21111,103.209,433478.931,3276.000
137,21112,89.686,376679.856,2767.929
138,21102,127.197,534227.949,3830.929
139,21113,147.295,618639.034,3311.167
140,21101,148.498,623691.286,3360.592
141,21103,172.508,724532.973,4441.647
142,21126,13.819,58041.405,1178.638
143,21125,41.295,173440.451,1774.603
144,21104,94.727,397852.560,4437.123
145,21301,10.132,42555.520,963.467
146,21302,41.310,173503.120,1649.766
147,21303,56.010,235240.611,2042.639
148,21304,85.843,360538.864,2534.340
149,21305,84.829,356280.019,2643.248
150,21306,55.109,231455.772,2462.123
151,21307,78.705,330560.429,2875.614
152,21308,85.045,357186.950,3192.482
153,21309,56.322,236552.557,2605.731
154,21310,67.846,284952.326,2957.899
155,21311,225.626,947631.148,4729.988
156,21312,274.601,1153322.486,5147.757
157,21313,196.677,826041.843,4233.768
158,21314,87.635,368066.832,2960.440
159,21315,72.353,303884.672,2266.247
160,21316,127.123,533915.289,4472.025
161,21317,127.819,536840.394,4504.424
162,21318,168.115,706082.160,5168.547
163,21319,137.287,576603.933,5157.154
164,21320,175.670,737815.501,4982.111
165,21321,117.434,493223.338,4432.475
166,21322,121.381,509801.331,4242.015
167,21323,170.583,716447.895,4928.607
168,21324,126.880,532894.208,3985.767
169,21325,108.560,455949.939,3544.313
170,21326,63.014,264657.703,3065.621
171,21327,154.140,647388.313,3450.342
