FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
0,05/04/2022,05/04/2022,1683,76,58,5.950,Afternoon,32.946112,13.100643
1,05/04/2022,05/04/2022,1683,71,32,1.020,Afternoon,33.001237,13.149108
2,07/04/2022,07/04/2022,1683,76,32,1.010,Morning,32.941127,13.095832
3,07/04/2022,07/04/2022,1683,75,53,3.010,Morning,32.953547,13.107378
4,07/04/2022,07/04/2022,1683,73,32,1.010,Morning,33.038873,13.169130
5,07/04/2022,07/04/2022,1683,71,26,0.870,Night,32.969932,13.138667
6,07/04/2022,07/04/2022,1683,76,41,1.990,Night,32.924988,13.098572
7,07/04/2022,07/04/2022,1683,76,35,1.020,Afternoon,32.927477,13.091982
8,07/04/2022,07/04/2022,1683,72,30,1.010,Afternoon,32.912128,13.106842
9,08/04/2022,08/04/2022,1683,72,30,1.010,Night,32.927257,13.094430
10,08/04/2022,08/04/2022,1683,77,40,1.800,Morning,32.944195,13.100252
11,08/04/2022,08/04/2022,1683,73,30,0.960,Afternoon,32.969745,13.138107
12,08/04/2022,08/04/2022,1683,73,33,1.010,Afternoon,32.959480,13.120738
13,08/04/2022,08/04/2022,1683,75,32,1.010,Afternoon,32.969107,13.136172
14,09/04/2022,09/04/2022,1683,76,33,1.010,Night,32.926395,13.096760
15,09/04/2022,09/04/2022,1683,72,33,1.000,Night,32.964518,13.129842
16,09/04/2022,09/04/2022,1683,77,47,2.780,Morning,32.941475,13.094778
17,09/04/2022,09/04/2022,1683,76,45,1.930,Morning,32.992233,13.134702
18,09/04/2022,09/04/2022,1683,77,33,1.010,Morning,33.024533,13.131327
19,09/04/2022,09/04/2022,1683,73,39,1.510,Morning,33.042442,13.136390
20,09/04/2022,09/04/2022,1683,76,45,2.030,Morning,33.059607,13.148005
21,09/04/2022,09/04/2022,1683,76,33,1.010,Morning,33.078247,13.144787
22,10/04/2022,10/04/2022,1683,76,32,1.020,Night,32.925623,13.097890
23,10/04/2022,10/04/2022,1683,73,39,1.930,Night,32.936632,13.117267
24,10/04/2022,10/04/2022,1683,78,49,3.050,Night,32.948712,13.140112
25,10/04/2022,10/04/2022,1683,76,48,2.030,Afternoon,32.928307,13.087595
26,10/04/2022,10/04/2022,1683,75,35,1.010,Night,32.928365,13.087382
