FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
0,05/04/2022,05/04/2022,1683,76,58,5.950,Afternoon,32.946112,13.100643
1,05/04/2022,05/04/2022,1683,71,32,1.020,Afternoon,33.001237,13.149108
2,07/04/2022,07/04/2022,1683,76,35,1.020,Afternoon,32.927477,13.091982
3,07/04/2022,07/04/2022,1683,72,30,1.010,Afternoon,32.912128,13.106842
4,08/04/2022,08/04/2022,1683,73,30,0.960,Afternoon,32.969745,13.138107
5,08/04/2022,08/04/2022,1683,73,33,1.010,Afternoon,32.959480,13.120738
6,08/04/2022,08/04/2022,1683,75,32,1.010,Afternoon,32.969107,13.136172
7,10/04/2022,10/04/2022,1683,76,48,2.030,Afternoon,32.928307,13.087595
8,11/04/2022,11/04/2022,1683,73,31,1.000,Afternoon,32.956592,13.110282
9,14/04/2022,14/04/2022,1683,75,67,1.010,Afternoon,32.914637,13.170235
10,14/04/2022,14/04/2022,1683,76,45,2.020,Afternoon,32.908030,13.163065
11,14/04/2022,14/04/2022,1683,71,33,1.000,Afternoon,32.878952,13.128668
12,14/04/2022,14/04/2022,1683,76,61,6.070,Afternoon,32.889797,13.106838
13,14/04/2022,14/04/2022,1683,75,34,1.010,Afternoon,32.976155,13.078492
14,18/04/2022,18/04/2022,1683,75,49,2.900,Afternoon,33.061077,13.180388
15,20/04/2022,20/04/2022,1683,76,33,1.010,Afternoon,32.968170,13.133857
16,20/04/2022,20/04/2022,1683,75,47,2.030,Afternoon,32.958907,13.118020
17,20/04/2022,20/04/2022,1683,71,33,1.010,Afternoon,32.940360,13.098423
18,20/04/2022,20/04/2022,1683,76,47,2.020,Afternoon,32.955172,13.108882
19,20/04/2022,20/04/2022,1683,75,44,2.020,Afternoon,32.967875,13.132973
20,20/04/2022,20/04/2022,1683,73,35,1.010,Afternoon,33.050457,13.174263
21,05/04/2022,05/04/2022,1687,77,44,2.020,Afternoon,32.947452,13.070408
22,05/04/2022,05/04/2022,1687,76,31,1.020,Afternoon,32.976082,13.079488
23,06/04/2022,06/04/2022,1687,76,33,1.010,Afternoon,32.954613,13.076017
24,06/04/2022,06/04/2022,1687,76,40,1.020,Afternoon,32.976060,13.079952
25,06/04/2022,06/04/2022,1687,73,24,0.750,Afternoon,32.987522,13.069440
