FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
0,07/04/2022,07/04/2022,1683,76,32,1.010,Morning,32.941127,13.095832
1,07/04/2022,07/04/2022,1683,75,53,3.010,Morning,32.953547,13.107378
2,07/04/2022,07/04/2022,1683,73,32,1.010,Morning,33.038873,13.169130
3,08/04/2022,08/04/2022,1683,77,40,1.800,Morning,32.944195,13.100252
4,09/04/2022,09/04/2022,1683,77,47,2.780,Morning,32.941475,13.094778
5,09/04/2022,09/04/2022,1683,76,45,1.930,Morning,32.992233,13.134702
6,09/04/2022,09/04/2022,1683,77,33,1.010,Morning,33.024533,13.131327
7,09/04/2022,09/04/2022,1683,73,39,1.510,Morning,33.042442,13.136390
8,09/04/2022,09/04/2022,1683,76,45,2.030,Morning,33.059607,13.148005
9,09/04/2022,09/04/2022,1683,76,33,1.010,Morning,33.078247,13.144787
10,11/04/2022,11/04/2022,1683,76,47,2.030,Morning,32.955690,13.109510
11,11/04/2022,11/04/2022,1683,74,44,2.010,Morning,32.968203,13.133817
12,13/04/2022,13/04/2022,1683,71,33,1.010,Morning,32.958912,13.117077
13,15/04/2022,15/04/2022,1683,76,32,1.010,Morning,32.976098,13.079893
14,15/04/2022,15/04/2022,1683,76,32,1.020,Morning,32.951940,13.075548
15,19/04/2022,19/04/2022,1683,74,27,0.890,Morning,32.940355,13.097678
16,20/04/2022,20/04/2022,1683,75,32,1.010,Morning,32.971890,13.141072
17,20/04/2022,20/04/2022,1683,74,32,1.010,Morning,32.987907,13.143045
18,20/04/2022,20/04/2022,1683,73,47,2.030,Morning,32.958607,13.113535
19,20/04/2022,20/04/2022,1683,72,39,0.750,Morning,32.941342,13.095198
20,06/04/2022,06/04/2022,1687,74,27,0.900,Morning,32.938687,13.084028
21,06/04/2022,06/04/2022,1687,71,32,1.000,Morning,32.959032,13.119503
22,06/04/2022,06/04/2022,1687,71,27,0.850,Morning,32.968022,13.133630
23,06/04/2022,06/04/2022,1687,73,32,1.000,Morning,33.012775,13.157493
24,06/04/2022,06/04/2022,1687,75,44,2.020,Morning,33.042897,13.169972
25,06/04/2022,06/04/2022,1687,75,34,1.020,Morning,33.066910,13.184428
26,07/04/2022,07/04/2022,1687,77,43,1.950,Morning,32.928273,13.087713
27,07/04/2022,07/04/2022,1687,77,33,1.000,Morning,32.952792,13.107795
28,07/04/2022,07/04/2022,1687,74,34,1.010,Morning,32.968462,13.139863
29,08/04/2022,08/04/2022,1687,75,21,0.690,Morning,32.935813,13.082617
30,08/04/2022,08/04/2022,1687,78,61,6.070,Morning,32.949005,13.102852
31,08/04/2022,08/04/2022,1687,77,35,1.020,Morning,32.974000,13.153203
32,09/04/2022,09/04/2022,1687,71,26,0.860,Morning,32.938310,13.083575
33,09/04/2022,09/04/2022,1687,73,44,2.010,Morning,32.942528,13.100342
34,09/04/2022,09/04/2022,1687,75,37,1.020,Morning,32.959233,13.120112
35,09/04/2022,09/04/2022,1687,77,44,2.010,Morning,32.968790,13.135518
36,09/04/2022,09/04/2022,1687,77,53,1.010,Morning,32.999468,13.148302
