FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
0,07/04/2022,07/04/2022,1683,71,26,0.870,Night,32.969932,13.138667
1,07/04/2022,07/04/2022,1683,76,41,1.990,Night,32.924988,13.098572
2,08/04/2022,08/04/2022,1683,72,30,1.010,Night,32.927257,13.094430
3,09/04/2022,09/04/2022,1683,76,33,1.010,Night,32.926395,13.096760
4,09/04/2022,09/04/2022,1683,72,33,1.000,Night,32.964518,13.129842
5,10/04/2022,10/04/2022,1683,76,32,1.020,Night,32.925623,13.097890
6,10/04/2022,10/04/2022,1683,73,39,1.930,Night,32.936632,13.117267
7,10/04/2022,10/04/2022,1683,78,49,3.050,Night,32.948712,13.140112
8,10/04/2022,10/04/2022,1683,75,35,1.010,Night,32.928365,13.087382
9,11/04/2022,11/04/2022,1683,71,32,1.010,Night,33.038192,13.134825
10,12/04/2022,12/04/2022,1683,73,34,1.010,Night,32.970010,13.138802
11,13/04/2022,13/04/2022,1683,75,44,2.020,Night,32.949907,13.103812
12,13/04/2022,13/04/2022,1683,74,33,1.010,Night,33.015743,13.125175
13,13/04/2022,13/04/2022,1683,77,37,1.020,Night,33.041042,13.135652
14,13/04/2022,13/04/2022,1683,76,44,2.020,Night,32.967793,13.132928
15,14/04/2022,14/04/2022,1683,75,41,1.820,Night,32.945795,13.100552
16,14/04/2022,14/04/2022,1683,76,52,3.050,Night,32.960493,13.122680
17,16/04/2022,16/04/2022,1683,75,23,0.750,Night,32.936663,13.082702
18,16/04/2022,16/04/2022,1683,75,28,0.940,Night,32.939073,13.084528
19,16/04/2022,16/04/2022,1683,76,32,1.020,Night,32.939877,13.055613
20,18/04/2022,18/04/2022,1683,71,32,1.000,Night,33.035792,13.179288
21,18/04/2022,18/04/2022,1683,72,32,1.000,Night,32.985742,13.143115
22,18/04/2022,18/04/2022,1683,76,61,6.080,Night,32.940833,13.099562
23,19/04/2022,19/04/2022,1683,77,34,1.010,Night,32.953675,13.107355
24,20/04/2022,20/04/2022,1683,74,46,2.010,Night,32.955653,13.109437
25,20/04/2022,20/04/2022,1683,76,44,2.020,Night,32.968128,13.133723
26,20/04/2022,20/04/2022,1683,73,32,1.010,Night,32.967892,13.133145
27,20/04/2022,20/04/2022,1683,72,31,1.010,Night,33.066260,13.183908
28,20/04/2022,20/04/2022,1683,74,35,1.020,Night,32.989668,0.000000
29,20/04/2022,20/04/2022,1683,72,32,1.010,Night,32.958915,13.118647
30,20/04/2022,20/04/2022,1683,71,32,1.000,Night,32.959250,13.120218
31,06/04/2022,06/04/2022,1687,77,45,2.020,Night,32.927680,13.089460
32,07/04/2022,07/04/2022,1687,77,43,2.030,Night,32.965330,13.131630
33,07/04/2022,07/04/2022,1687,75,30,0.940,Night,32.974370,13.153632
34,10/04/2022,10/04/2022,1687,77,43,1.950,Night,32.947625,13.101657
35,10/04/2022,10/04/2022,1687,73,35,1.000,Night,32.967177,13.120840
36,10/04/2022,10/04/2022,1687,72,31,1.010,Night,33.033753,13.155848
37,10/04/2022,10/04/2022,1687,78,36,1.020,Night,32.927375,13.093812
38,11/04/2022,11/04/2022,1687,76,26,0.870,Night,32.938055,13.083358
39,11/04/2022,11/04/2022,1687,76,50,3.030,Night,32.941438,13.100003
40,11/04/2022,11/04/2022,1687,71,33,1.000,Night,32.969617,13.122885
41,11/04/2022,11/04/2022,1687,73,33,1.010,Night,33.014662,13.124858
42,11/04/2022,11/04/2022,1687,76,31,1.010,Night,33.039978,13.135338
43,12/04/2022,12/04/2022,1687,73,32,1.010,Night,32.959355,13.120473
44,12/04/2022,12/04/2022,1687,71,32,1.020,Night,32.968958,13.136050
45,12/04/2022,12/04/2022,1687,73,44,2.020,Night,33.015435,13.125050
46,13/04/2022,13/04/2022,1687,72,32,1.010,Night,32.958905,13.117760
